Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
542077,,H1344D43RQ,HDFC FMP 1344D October 2018 (1) - Series 43 - Regular Option - Quarterly Dividend Option,Active,F ,10.00,INF179KB14T3, ,MF
542078,,IPRU3206,ICICI Prudential FMP Series 84 - 1287 Days Plan I - Quarterly Dividend Payout Option,Active,F ,10.00,INF109KC1MJ6, ,MF
542079,,IPRU3207,ICICI Prudential FMP Series 84 - 1287 Days Plan I - Half Yearly Dividend Payout Option,Active,F ,10.00,INF109KC1MK4, ,MF
542080,,IPRU9407,ICICI Prudential FMP Series 84 - 1287 Days Plan I - Direct Plan Cumulative Option,Active,F ,10.00,INF109KC1ML2, ,MF
542081,,H1261D43DG,HDFC FMP 1261D October 2018(1) - Series 43 - Direct Option - Growth Option,Active,F ,10.00,INF179KB17U4, ,MF
542082,,H1261D43DD,HDFC FMP 1261D October 2018(1) - Series 43 - Direct Option -  Normal Dividend Option,Active,F ,10.00,INF179KB18U2, ,MF
542083,,H1261D43DQ,HDFC FMP 1261D October 2018(1) - Series 43 - Direct Option - Quarterly Dividend Option,Active,F ,10.00,INF179KB19U0, ,MF
542084,,H1261D43RG,HDFC FMP 1261D October 2018(1) - Series 43 - Regular Option - Growth Option,Active,F ,10.00,INF179KB10V7, ,MF
542085,,IPRU3210,ICICI Prudential Fixed Maturity Plan Series 84 - 1275 days - Plan K - Cumulative Option,Active,F ,10.00,INF109KC1MO6, ,MF
542086,,IPRU3211,ICICI Prudential Fixed Maturity Plan Series 84 - 1275 days - Plan K - Quarterly Dividend Payou,Active,F ,10.00,INF109KC1MP3, ,MF
542087,,IPRU3212,ICICI Prudential Fixed Maturity Plan Series 84 - 1275 days - Plan K - Half Yearly Dividend Payout Op,Active,F ,10.00,INF109KC1MQ1, ,MF
542088,,IPRU9412,ICICI Prudential Fixed Maturity Plan Series 84 - 1275 days - Plan K - Direct Plan Cumulative Option,Active,F ,10.00,INF109KC1MR9, ,MF
542089,,IPRU9414,ICICI Prudential Fixed Maturity Plan Series 84 - 1275 days - Plan K,Active,F ,10.00,INF109KC1MT5, ,MF
542091,,KTKFMP250RG,Kotak FMP Series 250 - 1314 days - Regular Plan - Growth Option,Active,F ,10.00,INF174KA1822, ,MF
542092,,KTKFMP250RD,Kotak FMP Series 250 - 1314 days - Regular Plan - Dividend Payout Option,Active,F ,10.00,INF174KA1830, ,MF
542093,,KTKFMP250DG,Kotak FMP Series 250 - 1314 days - Direct Plan - Growth Option,Active,F ,10.00,INF174KA1848, ,MF
542098,,NXXXIX14X,NIPPON INDIA MUTUAL FUND  FIXED HORI FD  XXXIX SR 14 DR DVP29AP22,Active,F ,10.00,INF204KB1N35, ,MF
542099,,NXXXIX14Z,NIPPON INDIA MUTUAL FUND  FIXED HORI FD  XXXIX SR 14 DR GWTH29AP22,Active,F ,10.00,INF204KB1N27, ,MF
542100,,H1260D43DG,HDFC FMP 1260D October 2018(1) - Series 43 - Direct Option - Growth Option,Active,F ,10.00,INF179KB13V1, ,MF
542101,,NXXXIX14D,NIPPON INDIA MUTUAL FUND  FIXED HORI FD  XXXIX SR 14 RG DVP29AP22,Active,F ,10.00,INF204KB1N19, ,MF
542102,,H1260D43DQ,HDFC FMP 1260D October 2018(1) - Series 43 - Direct Option - Quarterly Dividend Option,Active,F ,10.00,INF179KB15V6, ,MF
542103,,NXXXIX14G,NIPPON INDIA MUTUAL FUND  FIXED HORI FD  XXXIX SR 14 RG GWTH29AP22,Active,F ,10.00,INF204KB1N01, ,MF
542104,,H1260D43RG,HDFC FMP 1260D October 2018(1) - Series 43 - Regular Option - Growth Option,Active,F ,10.00,INF179KB16V4, ,MF
542111,,H1265D43DG,HDFC FMP 1265D October 2018 (1) - Series 43 - Direct Option - Growth Option,Active,F ,10.00,INF179KB11U7, ,MF
542112,,H1265D43DD,HDFC FMP 1265D October 2018 (1) - Series 43 - Direct Option - Normal Dividend Option,Active,F ,10.00,INF179KB12U5, ,MF
